study,N,dt,T,C,seconds
space,50,0.05,,,0.5872086999879684
space,100,0.05,0.0002522361027352815,0.03486238601346958,0.5284221000038087
space,200,0.05,6.307419343087872e-05,0.01322776859733299,0.957763199985493
space,400,0.05,1.5769495096407127e-05,0.0034194543536405497,1.7843256999913137
space,800,0.05,3.942432943659924e-06,0.0007814243295194423,3.502185699995607
space,1600,0.05,9.856119262963148e-07,0.000191521432848063,6.938682199979667
time,400,0.2,,,0.49016849999316037
time,400,0.1,0.0001910621362775089,0.00027292889015484434,0.9049443999829236
time,400,0.05,9.556279674072243e-05,0.00017754854535256825,1.7814325999934226
time,400,0.025,4.778385898163151e-05,8.993847642546626e-05,3.5318086000042967
graded,50,0.05,,,5.780816099984804
graded,100,0.05,0.0006157718686097269,0.0005955860309376781,6.23824040000909
graded,200,0.05,0.0001560197982541922,0.00015010043476149093,0.9671250999963377
graded,400,0.05,3.926372931317701e-05,3.7598841387875837e-05,1.8336432999931276
graded,800,0.05,9.848227605857574e-06,9.404321396289106e-06,3.9903534000040963
graded,1600,0.05,2.466090570862889e-06,2.351368571407164e-06,7.837155199988047
