time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.0000000000001,28.0000000012587,28.0000014177053,28.000129672209
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.0000000000012,28.0000000012806,28.0000003091137,28.0000191519271,28.0003659079388
3,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.0000000000012,28.000000000437,28.0000000583845,28.0000030268745,28.0000658078771,28.0006710107768
4,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.0000000000005,28.0000000001098,28.0000000106301,28.0000004959141,28.0000116092645,28.0001444145301,28.0010315319333
5,28,28,28,28,28,28,28,28,28,28,28,28,28,28.0000000000002,28.0000000000243,28.0000000019132,28.0000000831377,28.0000020396476,28.0000291984891,28.0002550075597,28.0014397003524
6,28,28,28,28,28,28,28,28,28,28,28,28,28,28.000000000005,28.0000000003434,28.000000014169,28.0000003588272,28.0000056931362,28.0000581690154,28.0003967389784,28.0018902737904
7,28,28,28,28,28,28,28,28,28,28,28,28,28.000000000001,28.0000000000617,28.0000000024459,28.0000000633465,28.0000010863495,28.0000125597494,28.0001002135854,28.0005685114899,28.0023794045496
8,28,28,28,28,28,28,28,28,28,28,28,28.0000000000002,28.0000000000111,28.0000000004268,28.0000000112323,28.0000002046173,28.0000026113869,28.0000237215691,28.000156512074,28.0007691946806,28.0029041120066
9,28,28,28,28,28,28,28,28,28,28,28,28.000000000002,28.0000000000752,28.0000000020015,28.0000000382451,28.0000005288538,28.0000053508935,28.0000401773737,28.0002278746429,28.0009977024416,28.0034619986086
