time_s,mass_residual,heat_identity_residual,integral_QT,integral_QC,capacity_correction
6.000000000000000000e+01,2.246737951933086563e-16,5.436668004676903365e-09,-7.218271170596429975e+00,2.284300953452365413e-06,-4.181125691671762468e+01
1.200000000000000000e+02,4.591325149932989902e-16,3.376912616204208462e-08,-2.962388272055094518e+01,4.455355967576782620e-06,-8.186225218147212956e+01
1.800000000000000000e+02,4.924446267429161139e-16,2.747553651261114283e-08,-6.540611024841361143e+01,6.556738266316687776e-06,-1.209062370036621701e+02
2.400000000000000000e+02,5.663160641388581551e-16,2.938560328402672894e-08,-1.096743704833470474e+02,8.603991659505890046e-06,-1.592035248191194228e+02
3.000000000000000000e+02,5.692484922022525429e-16,4.528931185632245615e-08,-1.664192706125892869e+02,1.060613900696865694e-05,-1.969111520331123870e+02
3.600000000000000000e+02,5.708680191974027651e-16,3.157646233375999145e-08,-2.359881910312797970e+02,1.256944813562579229e-05,-2.341690222846689551e+02
4.200000000000000000e+02,6.454340236100933326e-16,5.742674602515762672e-08,-3.143399307054908149e+02,1.449838585836625886e-05,-2.710520997380832569e+02
4.800000000000000000e+02,6.446971049459820913e-16,4.545728415905614384e-08,-3.990086161717720188e+02,1.639639821589920703e-05,-3.076188652230185312e+02
5.400000000000000000e+02,6.467164314922363433e-16,5.986157702864147723e-08,-4.912118826728695922e+02,1.826620066487746302e-05,-3.439090689122411959e+02
6.000000000000000000e+02,6.804080140022233936e-16,6.164651722428970970e-08,-5.927148536561830952e+02,2.011016012587990741e-05,-3.799786459989450691e+02
6.600000000000000000e+02,6.823731304398533704e-16,7.379361477433121763e-08,-7.041123438162311459e+02,2.193035685610391687e-05,-4.158721906694298127e+02
7.200000000000000000e+02,6.838029220548186293e-16,5.869998176422086544e-08,-8.236181210198158169e+02,2.372860881773774391e-05,-4.516352074203255711e+02
7.800000000000000000e+02,6.852462661969399571e-16,6.893355930515099317e-08,-9.493151051163347347e+02,2.550633399031260588e-05,-4.872889188855215252e+02
8.400000000000000000e+02,7.003099001309104343e-16,5.856918505742214620e-08,-1.080205406720716610e+03,2.726475821523903267e-05,-5.228571207484571914e+02
9.000000000000000000e+02,7.153972509874040320e-16,6.346999725792557001e-08,-1.214245826611415396e+03,2.900498305227461576e-05,-5.583522721185308910e+02
9.600000000000000000e+02,7.183042680623807907e-16,7.803669177519623190e-08,-1.354563077426970040e+03,3.072818346072703942e-05,-5.937960578058646206e+02
1.020000000000000000e+03,7.193613651805541576e-16,6.131097052275435999e-08,-1.499047805273126187e+03,3.243534135303105021e-05,-6.292133207201580944e+02
1.080000000000000000e+03,7.202761607635888019e-16,8.111862825899152085e-08,-1.649865807427369646e+03,3.412712740106809588e-05,-6.646127304067182422e+02
1.140000000000000000e+03,7.226004191708546021e-16,6.447021405620034784e-08,-1.807479544686608961e+03,3.580448363542282532e-05,-7.000267093915485930e+02
1.200000000000000000e+03,7.419602042132988906e-16,7.985886441019829363e-08,-1.968487621251482324e+03,3.746809316611692572e-05,-7.354658134540779884e+02
1.260000000000000000e+03,7.521855859525528043e-16,6.567381660715909675e-08,-2.131425791812604530e+03,3.911862207144774613e-05,-7.709410786531476560e+02
1.320000000000000000e+03,7.525040703407204212e-16,8.367078407900407910e-08,-2.298850541204028559e+03,4.075674852619262190e-05,-8.064609597989519898e+02
1.380000000000000000e+03,7.548012236936740837e-16,6.855952960904687643e-08,-2.471604215643425505e+03,4.238293309755112502e-05,-8.420433438543627744e+02
1.440000000000000000e+03,8.863894861155241500e-16,8.704137144377455115e-08,-2.645587578629863856e+03,4.399777625581883936e-05,-8.776982826296471103e+02
1.500000000000000000e+03,8.872975054349807600e-16,7.406026725220726803e-08,-2.817950166572896251e+03,4.560179281909669524e-05,-9.134286653642353713e+02
1.560000000000000000e+03,8.877582913582870994e-16,9.136635981121798977e-08,-2.990973392544510261e+03,4.719526737393982664e-05,-9.492291399344993579e+02
1.620000000000000000e+03,8.932131835386047936e-16,7.410073976643616334e-08,-3.164874284547674506e+03,4.877865104901251829e-05,-9.851100978203791101e+02
1.680000000000000000e+03,9.025034409040899597e-16,9.051188953890232369e-08,-3.338768190256201251e+03,5.035227827959884927e-05,-1.021072126217667005e+03
1.740000000000000000e+03,9.128304665970143894e-16,1.118205545935779810e-07,-3.517495015273095305e+03,5.191653815087524397e-05,-1.057125548028589947e+03
1.800000000000000000e+03,9.141315092039969947e-16,9.865152605925686657e-08,-3.699987680214451302e+03,5.347183364995008700e-05,-1.093286970007769924e+03
1.860000000000000000e+03,9.174179970393436800e-16,9.940481504600029439e-08,-3.884315176436147794e+03,5.501852947763178351e-05,-1.129564767653935860e+03
