time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
0,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
60,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999847,2.5499999999336747,2.5499999271075016,2.5499796767441216,2.548504152373992,2.518471531096254,2.327081853265192
120,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999995229,2.549999999852917,2.5499999774102493,2.5499982600281665,2.5499320788994932,2.5486325813974315,2.5353922125346307,2.4632480913604109,2.2420932270960221
180,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.549999999999998,2.5499999999997698,2.5499999999716287,2.5499999978030483,2.5499998928290646,2.5499966934969507,2.5499350868063653,2.5491815071354136,2.543278485329751,2.5132863348287047,2.4123536372164915,2.1798352129810472
240,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999607,2.5499999999970155,2.5499999998382052,2.5499999937948488,2.5499998314623777,2.5499967507443819,2.5499553656004585,2.5495607222157992,2.5468779343681791,2.5337912797672884,2.4875048270660365,2.366837433173913,2.1292842612586536
300,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5499999999999954,2.5499999999997494,2.5499999999891374,2.5499999996429206,2.5499999910842184,2.5499998308534719,2.5499975585452974,2.5499731288246883,2.5497736997275915,2.5485345670989195,2.542652813460474,2.5212019973435735,2.4605530605071588,2.3258230751953017,2.086354320357521
360,2.5500000000000003,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999998,2.5499999999999803,2.5499999999992862,2.5499999999790695,2.5499999995105056,2.5499999908741566,2.5499998644375603,2.5499983948956566,2.5499848326514578,2.5498853791789413,2.5493050943126772,2.5466053707299747,2.5365569177377996,2.5064805213208219,2.4335201682383487,2.2884952033113595,2.0488732555958795
420,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999514,2.5499999999987204,2.5499999999718637,2.5499999994874631,2.5499999922866952,2.5499999042424895,2.5499990198241793,2.5499917247774748,2.5499423104187122,2.5496672748164815,2.5484078770296481,2.5436542764404915,2.5288186871219542,2.4903552091573382,2.4069459405269766,2.2542515439627731,2.0154607558408615
480,2.5499999999999994,2.5500000000000007,2.5499999999999958,2.549999999999915,2.5499999999982621,2.5499999999695655,2.5499999995441085,2.5499999941918237,2.5499999372730504,2.5499994266239225,2.5499955663040241,2.5499709895219773,2.5498392115213888,2.5492438220044558,2.5469745746361898,2.5396652536067377,2.5197111545194817,2.4733442594139525,2.3810811464479293,2.2226058554972035,1.9852237217960744
540,2.5499999999999994,2.5499999999999927,2.5499999999998746,2.5499999999980001,2.5499999999711838,2.5499999996333202,2.5499999959272457,2.5499999607473907,2.549999672822906,2.5499976452430642,2.5499853745196077,2.5499215904077253,2.5496368165386314,2.5485442858937795,2.5449388165690361,2.5346862258286587,2.5094967961369976,2.4558148333586991,2.3560401473559454,2.1931657561774465,1.9576403945838636
