time_h,r0_cm,r0.5_cm,r1_cm,r1.5_cm,r2_cm
6,1.0155512146897543,0.986829193410794,0.90055271048531682,0.75463458868652888,0.53345590972751178
12,0.45475803443884066,0.44183697845646164,0.40193922229005991,0.3289221413133141,0.16394892149272955
18,0.29789110316665957,0.29063734602469365,0.26790959970547751,0.22469735124256532,0.084219487769602197
24,0.2370996663238556,0.23206431187002652,0.2161261671653652,0.18508650331786103,0.066269503409776331
30,0.205265214481019,0.20130461878587114,0.18868301237828111,0.16371089707861369,0.059661553167121406
36,0.18540700793809925,0.18207345341459935,0.17139965596561718,0.15004706379279895,0.056482060932219462
42,0.17165503234423796,0.16873343242651956,0.15934571309025361,0.14041107326358773,0.05469420639144329
48,0.16145963891988049,0.15883078240933579,0.15036052262148578,0.13316651551029884,0.053580621730700592
54,0.15353205166319944,0.15112298178944067,0.14334368016852406,0.12747018733513554,0.052835103644202637
57.18333333333333,0.14998537271777612,0.14767233589761336,0.1401955606440865,0.12490303718932633,0.052534603277782158
