time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
60,28.000000030502836,28.0000000441465,28.000000100848439,28.000000264429801,28.000000710117828,28.000001884164849,28.000004870250109,28.000012181977556,28.000029381959266,28.000068204537641,28.000152229295026,28.00032657384466,28.000673429387284,28.001335350373317,28.00254779376613,28.004681245556213,28.008291359483451,28.014173057496876,28.023412264079283,28.037432609139309,28.058071621649979
120,28.000060645769203,28.000068085913338,28.000092558600059,28.000141008769109,28.000226696083267,28.000371934757418,28.000612349495377,28.001003055769793,28.001627252083772,28.002607784468488,28.004122235666649,28.006422036415337,28.009855917257127,28.014897680632458,28.022177779632301,28.032517451814101,28.04696336208082,28.066820151007789,28.093681612107311,28.129479834567604,28.176587785776039
180,28.00116100741241,28.001232836641886,28.001458233190839,28.001867878336178,28.002516069185287,28.003485519698785,28.004894173240476,28.00690405804216,28.009732097829989,28.013662668958318,28.019061407542381,28.026389504547787,28.036217405368959,28.049236572705031,28.066267934836937,28.088265812116784,28.116316938782166,28.151637034732996,28.195577065221791,28.249665096242168,28.315700579159202
240,28.006262133512717,28.006505140643508,28.007253718160563,28.008567390399286,28.010548040774268,28.013343791520995,28.017154161169714,28.022236211812576,28.028911235941784,28.037571464201207,28.048686053393414,28.062805531976124,28.080563779092113,28.102676626818308,28.129936427112504,28.163202447469953,28.203388648594267,28.251455119411972,28.308418041926217,28.375395358621233,28.45369632179689
300,28.019070259105153,28.019580313755668,28.021136312642689,28.023816237664636,28.027751318666638,28.033127821404811,28.040189390864214,28.04923988940164,28.060646730965704,28.074845012708796,28.092342986961757,28.113729883234068,28.139687447041926,28.171006734541997,28.208611573732018,28.253589652654291,28.30723258894038,28.371088653723625,28.447033603828743,28.537359288349329,28.644881372227605
360,28.042169955866846,28.043001067098857,28.045524160527311,28.049829134511576,28.056067411424799,28.064454385075862,28.075272954081058,28.088878198012978,28.105703098379092,28.126265110834005,28.151172990700847,28.181132953465376,28.216952818109903,28.259542507177276,28.309909554456123,28.369149615188903,28.438435583843962,28.519014092059855,28.612220686477048,28.719522875995764,28.842612035538902
420,28.077297883198074,28.078502822216731,28.0821521150941,28.088349739357923,28.097270072840853,28.10915938916742,28.124337715504087,28.143200844401832,28.166222187464903,28.193954257713955,28.227029489188201,28.266160270894272,28.312138190104047,28.365832719494733,28.428190198498609,28.5002352640292,28.583079364495404,28.677942841927045,28.786195417117121,28.909418475907827,29.049510857015978
480,28.126209002627423,28.127828305851203,28.132722699390367,28.141002009041294,28.152849538379648,28.168522380064221,28.188351703031312,28.212742860845523,28.242175013415366,28.277199944489897,28.318439488504115,28.366580903677747,28.422369414709273,28.486597334329709,28.56009009550408,28.64369147997855,28.738253235056707,28.844636028459409,28.963728199335613,29.096491683488466,29.244064556971232
540,28.189769941903212,28.191813219932463,28.197979014871791,28.208375379878973,28.223181727059824,28.242647734357966,28.267091705326848,28.296898351707448,28.332515995846954,28.374453468091403,28.42327713143602,28.479608896357412,28.544126481441161,28.617567680230081,28.700741131264827,28.794546835030012,28.900009787709138,29.018327989699209,29.150932965782012,29.299564803011869,29.466388017675609
600,28.267806906227108,28.270255682053751,28.277635924810966,28.290049718436705,28.307666884513115,28.330724576213985,28.359526864796884,28.394444459420463,28.435914629489563,28.48444144356937,28.540596228913437,28.60501810954587,28.678414417346431,28.761561019637568,28.855303443540251,28.960560859321184,29.078335897017858,29.209732906872123,29.355987814720692,29.518520786119677,29.699046285678428
660,28.359639946908786,28.362480259947308,28.371034677182656,28.385404124807351,28.405756747257747,28.432327802570313,28.465419537435242,28.50540110172652,28.552708560410327,28.607845262308668,28.671382880738754,28.743963761792639,28.82630556225736,28.919209700008,29.023575847642061,29.140424964440498,29.270932555949628,29.416471754283101,29.578665769953513,29.759458065071566,29.96123320266982
720,28.465036600388149,28.468266952734538,28.477991727227163,28.494312759430688,28.51740012104429,28.547492656844302,28.58489877686004,28.629997501696753,28.683239607565678,28.74514866609594,28.816321460900618,28.897427158502762,28.98920458152114,29.092457304982876,29.208047195196858,29.336888000155014,29.479941434705303,29.638219159823759,29.812798006111358,30.004866537579481,30.215840766410064
780,28.584110908694029,28.587739257724792,28.598658587127368,28.616972341610548,28.642852713622361,28.67654022046726,28.718342953124651,28.768635382957044,28.827856575481221,28.896507848641832,28.975149991314034,29.064400567346478,29.164932328523598,29.277474436010717,29.402818824684886,29.541833982668166,29.695487548560379,29.864878281280618,30.051280375854773,30.256212678528712,30.481564987866989
840,28.717003287590249,28.721024759925584,28.733122138294661,28.753394894057124,28.782008350426842,28.819192974461746,28.865243377189788,28.920516999023913,28.985432352852914,29.060466725313756,29.146153071022415,29.243075918303788,29.35186626271939,29.473195828799593,29.607771654422585,29.756332328831363,29.919647664703831,30.098525072370041,30.293830757598663,30.506543802640913,30.737876735040743
900,28.863268570023962,28.867665138953772,28.88088585967887,28.90302430471613,28.934235532741567,28.974734674273741,29.024794847952048,29.084744333062496,29.15496288851346,29.235877266887471,29.327956039973731,29.431704220664091,29.547658599205221,29.676385224404068,29.818480815336876,29.974579712794856,30.145367665427042,30.331604417666398,30.534160903545494,30.754085497675767,30.992728442536389
960,29.022093987123331,29.026834980462279,29.04108568230015,29.064929793493608,29.098505751568972,29.142005154633473,29.195670642811308,29.259793373844417,29.33471029103212,29.420801638095835,29.51848936866881,29.628237544808531,29.750556240188278,29.886010764376948,30.035237913335948,30.198970118856529,30.378067380801145,30.573556977869348,30.786684401695979,31.018987646821785,31.272422258460807
1020,29.192247702558081,29.197297274325997,29.212471306287917,29.237846559006226,29.273550643238782,29.319761579866796,29.376707283842684,29.444665023124394,29.523960796522822,29.614968543710958,29.718108897639777,29.833847152519414,29.962690082494802,30.105181309707724,30.261895121905386,30.433429065133325,30.620397051333669,30.823427976946153,31.043180798309663,31.280395291965938,31.536007670147281
1080,29.372783700741543,29.378124401616486,29.394170594351824,29.420995320494935,29.458719653699902,29.507511657085193,29.567584893428126,29.639196554391859,29.722645409226693,29.818270164940174,29.926449256102849,30.047603778426005,30.182205885711831,30.330795244650151,30.494005730826224,30.672603221606671,30.867533773399053,31.079980884334404,31.311432976780907,31.563769569038186,31.839388067560442
