时间/h,0 cm,0.5 cm,1.0 cm,1.5 cm,2.0 cm
6,1.0155504498123817,0.98682861614095518,0.90055233802821744,0.75463440380892566,0.53345587098459291
12,0.45475757049642906,0.44183660131102342,0.40193894727618362,0.32892197204455537,0.16394883284826817
18,0.2978908152952251,0.29063710768038709,0.26790942219813074,0.22469724197071267,0.084219442919324608
24,0.23709946310848304,0.23206414227089858,0.21612603849467255,0.18508642167164513,0.066269480193722752
30,0.20526505590000146,0.20130448599350442,0.18868291041043889,0.16371083087419452,0.059661539092045413
36,0.18540687623429644,0.18207334298254294,0.17139957051845808,0.150047007447657,0.056482051470542763
42,0.1716549185179925,0.16873333694661993,0.15934563883368347,0.14041102375796649,0.054694199566821769
48,0.16145953783033468,0.15883069761559382,0.15036045643452003,0.13316647102206167,0.053580616551517933
54,0.15353196011411846,0.15112290501540646,0.14334362007622334,0.12747014668392942,0.052835099560643681
57.18333333333333,0.14998528533060754,0.14767226262647284,0.14019550322515054,0.12490299823542703,0.052534599633691885
