time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
0,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
60,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999856,2.5499999999336747,2.5499999271075016,2.5499796767441212,2.548504152373992,2.518471531096254,2.3270818532651925
120,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999995224,2.549999999852917,2.5499999774102506,2.5499982600281403,2.5499320788994959,2.5486325813973418,2.535392212533325,2.4632480913625052,2.2420932270948546
180,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.549999999999998,2.5499999999997689,2.5499999999716292,2.5499999978030496,2.5499998928290672,2.5499966934969298,2.5499350868064639,2.5491815071361801,2.5432784853303518,2.5132863348299717,2.4123536372161158,2.1798352129754939
240,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5499999999999989,2.5499999999999994,2.5499999999999612,2.5499999999970173,2.5499999998382057,2.5499999937948497,2.5499998314623777,2.5499967507443517,2.549955365600332,2.5495607222153858,2.5468779343665475,2.5337912797642703,2.4875048270657429,2.3668374331780857,2.1292842612635727
300,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999954,2.5499999999997485,2.5499999999891374,2.5499999996429201,2.5499999910842184,2.549999830853471,2.5499975585452876,2.549973128824647,2.5497736997274636,2.5485345670984834,2.5426528134593718,2.5212019973423629,2.4605530605074906,2.3258230751972375,2.0863543203598232
360,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999999803,2.5499999999992857,2.549999999979069,2.5499999995105056,2.5499999908741566,2.5499998644375599,2.5499983948956548,2.5499848326514511,2.5498853791789267,2.5493050943126354,2.5466053707298428,2.5365569177375478,2.5064805213206665,2.4335201682385437,2.2884952033117014,2.0488732555962046
420,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999989,2.5499999999999519,2.54999999999872,2.5499999999718637,2.5499999994874623,2.5499999922866952,2.5499999042424899,2.5499990198241758,2.5499917247774562,2.5499423104186301,2.5496672748162008,2.5484078770289091,2.5436542764390611,2.5288186871200886,2.490355209156184,2.4069459405279692,2.2542515439663475,2.0154607558453037
480,2.5499999999999998,2.5500000000000003,2.5499999999999963,2.549999999999915,2.5499999999982625,2.5499999999695655,2.5499999995441076,2.5499999941918237,2.5499999372730504,2.5499994266239221,2.5499955663040197,2.5499709895219587,2.5498392115213226,2.5492438220042706,2.5469745746357804,2.5396652536060675,2.5197111545187436,2.4733442594136195,2.3810811464484871,2.2226058554987058,1.9852237217979618
540,2.5499999999999985,2.5499999999999927,2.5499999999998741,2.5499999999980001,2.5499999999711833,2.5499999996333198,2.5499999959272457,2.5499999607473907,2.549999672822906,2.5499976452430646,2.5499853745196046,2.5499215904077155,2.549636816538603,2.5485442858937128,2.5449388165689077,2.5346862258284766,2.5094967961368253,2.4558148333586516,2.3560401473561305,2.1931657561778533,1.9576403945843326
600,2.5499999999999616,2.5499999999998169,2.5499999999978611,2.5499999999746326,2.5499999997218596,2.5499999972609544,2.5499999760720433,2.5499998156861432,2.5499987523047345,2.5499925894139368,2.5499614057280242,2.5498237266851707,2.5492933482537783,2.5475098853275089,2.5422699527399586,2.5287963540450171,2.4983986880219757,2.4380066521424419,2.331830468052539,2.1656292130545411,1.9323319751467021
660,2.5499999999993568,2.5499999999975449,2.5499999999779401,2.5499999997937208,2.5499999981918502,2.5499999855734927,2.5499998965321038,2.5499993370067235,2.5499962171734007,2.549980813153514,2.5499135463433342,2.5496539044133639,2.5487681292494235,2.5460962649272467,2.5389636308110033,2.5220859624457055,2.4866009708500654,2.4200872722466009,2.3084482927948122,2.1397698183853686,1.9089911440066913
720,2.5499999999932692,2.5499999999784109,2.5499999998433438,2.5499999987992914,2.5499999912723292,2.549999941608097,2.5499996449182456,2.5499980495448611,2.5499903548510616,2.5499571348757835,2.5498289142873976,2.5493867293646284,2.5480243604839581,2.5442730266312115,2.5350332303749612,2.5146450404726539,2.4742509899784322,2.4021694914073755,2.2858655873572826,2.1154110606395555,1.8873204232443499
780,2.5499999999505314,2.5499999998621474,2.5499999991658671,2.549999994601067,2.5499999665285094,2.5499998071760621,2.5499989808284336,2.5499950885009453,2.5499784929605163,2.5499145751329673,2.5496924634264921,2.5489965237654615,2.5470305817573182,2.5420219986694517,2.5305040558641827,2.5065611624802142,2.4614750806484604,2.3843487454274506,2.2640750848753299,2.0924009424925556,1.8670888803400418
