time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
60,28.000000030502832,28.000000044146503,28.000000100848432,28.000000264429794,28.000000710117821,28.000001884164849,28.000004870250116,28.000012181977553,28.000029381959259,28.000068204537641,28.000152229295029,28.000326573844667,28.000673429387287,28.001335350373321,28.00254779376613,28.004681245556213,28.008291359483447,28.014173057496876,28.023412264079283,28.037432609139309,28.058071621649979
120,28.000060645769327,28.000068085913462,28.00009255860018,28.000141008769226,28.000226696083413,28.000371934757634,28.00061234949569,28.001003055770177,28.001627252084116,28.002607784468644,28.004122235666571,28.006422036415191,28.009855917257383,28.014897680633698,28.022177779634891,28.032517451817903,28.046963362084963,28.066820151011029,28.093681612108757,28.12947983456737,28.176587785775165
180,28.001161007411898,28.001232836641314,28.001458233190021,28.001867878334792,28.002516069182875,28.003485519694816,28.00489417323471,28.006904058035122,28.009732097823438,28.013662668954971,28.019061407544555,28.026389504555077,28.036217405376654,28.049236572705471,28.066267934824097,28.088265812091297,28.116316938752988,28.151637034713456,28.195577065221265,28.249665096259442,28.31570057918281
240,28.006262133518206,28.006505140649139,28.007253718166577,28.008567390405734,28.010548040780872,28.013343791527326,28.017154161175522,28.022236211818463,28.028911235949835,28.037571464214739,28.048686053415118,28.062805532005111,28.080563779121697,28.102676626836715,28.129936427108365,28.163202447441869,28.203388648556803,28.251455119389469,28.308418041936747,28.375395358663564,28.453696321850302
300,28.019070259108574,28.019580313759199,28.021136312646618,28.023816237669489,28.027751318673243,28.033127821414094,28.040189390876563,28.049239889415873,28.060646730978149,28.07484501271378,28.092342986954311,28.113729883214553,28.139687447019391,28.171006734531812,28.208611573746488,28.253589652692085,28.307232588983382,28.371088653745701,28.447033603812269,28.537359288297722,28.644881372164235
360,28.042169955867365,28.04300106709934,28.045524160527755,28.04982913451212,28.056067411425772,28.064454385077656,28.075272954083744,28.088878198015738,28.105703098379742,28.12626511082928,28.151172990688103,28.181132953445278,28.216952818088352,28.259542507164113,28.309909554459452,28.369149615208322,28.438435583868056,28.519014092071405,28.612220686463893,28.719522875959676,28.842612035495151
420,28.077297883218698,28.078502822237251,28.082152115114233,28.088349739377175,28.097270072858461,28.109159389182459,28.124337715515889,28.143200844410757,28.166222187473096,28.193954257725505,28.227029489207705,28.266160270923315,28.312138190137176,28.365832719520029,28.428190198505845,28.500235264019356,28.583079364481314,28.677942841924029,28.786195417133008,28.909418475939841,29.049510857052947
480,28.126209002633516,28.127828305857246,28.132722699396261,28.141002009046893,28.152849538384746,28.168522380068648,28.188351703035078,28.212742860849104,28.242175013419804,28.277199944496537,28.318439488513715,28.366580903689417,28.422369414720187,28.486597334336672,28.560090095506176,28.643691479978287,28.738253235058721,28.844636028468116,28.963728199352744,29.0964916835119,29.244064556996118
540,28.189769941901357,28.191813219930648,28.197979014870093,28.208375379877527,28.223181727058822,28.24264773435765,28.267091705327374,28.296898351708705,28.332515995848382,28.374453468092057,28.423277131435032,28.479608896354904,28.54412648143882,28.617567680230497,28.700741131269393,28.794546835037544,28.900009787716343,29.018327989702492,29.15093296577961,29.299564803004863,29.466388017667153
600,28.267806906216201,28.270255682042922,28.277635924800446,28.290049718426914,28.307666884504723,28.330724576207793,28.359526864793413,28.394444459419088,28.435914629487709,28.484441443562599,28.540596228897453,28.605018109520412,28.678414417318862,28.761561019621276,28.855303443545402,28.960560859345332,29.078335897046166,29.209732906886103,29.35598781470852,29.518520786083734,29.699046285634612
660,28.359639946901236,28.362480259939765,28.371034677175135,28.385404124799905,28.405756747250475,28.432327802563293,28.465419537428442,28.505401101719681,28.552708560402909,28.607845262300124,28.671382880729016,28.743963761782652,28.826305562248962,28.919209700002881,29.02357584764065,29.1404249644416,29.270932555950626,29.416471754281012,29.578665769946674,29.759458065060709,29.961233202657812
720,28.465036600379282,28.468266952725678,28.47799172721831,28.494312759421778,28.517400121035113,28.547492656834464,28.584898776849098,28.629997501684642,28.683239607553304,28.745148666085594,28.816321460895288,28.897427158503906,28.989204581525684,29.092457304983029,29.208047195185468,29.336888000131928,29.479941434678835,29.638219159806273,29.812798006111088,30.004866537594889,30.215840766430937
780,28.58411090869042,28.587739257721161,28.598658587123587,28.616972341606385,28.642852713617359,28.676540220460893,28.718342953116629,28.76863538294792,28.827856575472872,28.896507848637363,28.97514999131641,29.064400567356081,29.164932328535983,29.277474436016618,29.402818824674959,29.541833982641165,29.695487548527485,29.864878281259998,30.05128037585969,30.25621267855793,30.48156498790469
840,28.717003287590863,28.721024759926223,28.733122138295375,28.753394894058065,28.782008350428349,28.819192974464286,28.865243377193796,28.920516999029374,28.985432352858762,29.060466725317571,29.146153071021068,29.243075918295553,29.351866262706992,29.47319582879107,29.607771654426646,29.756332328849545,29.919647664727194,30.09852507238373,30.293830757591689,30.506543802614303,30.737876735007404
900,28.863268570031185,28.867665138961023,28.880885859686167,28.903024304723505,28.934235532749014,28.974734674281194,29.024794847959356,29.084744333069441,29.15496288851979,29.23587726689286,29.327956039977444,29.43170422066483,29.5476585992023,29.67638522439978,29.818480815336873,29.974579712803905,30.145367665442958,30.33160441767923,30.534160903545207,30.754085497661187,30.992728442516505
960,29.022093987124027,29.026834980462954,29.041085682300682,29.064929793493548,29.098505751567501,29.142005154629487,29.195670642804075,29.259793373834757,29.334710291023562,29.420801638094595,29.518489368681223,29.628237544835653,29.750556240220078,29.886010764391614,30.035237913310993,30.198970118788619,30.378067380716889,30.573556977812942,30.786684401700448,31.018987646884817,31.272422258544555
1020,29.192247702558813,29.197297274326793,29.212471306289018,29.237846559008098,29.27355064324221,29.319761579872697,29.376707283851484,29.44466502313503,29.523960796531846,29.614968543712664,29.718108897628699,29.833847152494833,29.96269008246496,30.10518130968893,30.26189512191279,30.433429065167854,30.620397051376365,30.823427976967366,31.043180798288333,31.280395291905119,31.536007670073285
1080,29.372783700742396,29.378124401617256,29.39417059435231,29.420995320494853,29.458719653698953,29.507511657083178,29.567584893425142,29.639196554388526,29.722645409223944,29.818270164938532,29.926449256101279,30.047603778421639,30.182205885701851,30.330795244635244,30.494005730811374,30.672603221596862,30.867533773393937,31.079980884327604,31.311432976765467,31.563769569013147,31.83938806753228
1140,29.56313487857258,29.568748361567344,29.58561158396267,29.613793929789111,29.653411233570349,29.704626170602058,29.767649009710578,29.842738877028474,29.930205588202647,30.030412060853795,30.14377706732532,30.270777918036373,30.411952402523692,30.567899088669975,30.739275086156319,30.926790926466943,31.131204182454368,31.353317412053698,31.59399221760895,31.854198658668125,32.135126462276112
1200,29.762892609405778,29.768779179780232,29.786462472722764,29.816014302138683,29.857554343815,29.911250014338169,29.977316150028503,30.056014376013053,30.147652057346605,30.252580919730732,30.371195580587226,30.503932596447509,30.651270920152392,30.813734818948191,30.991900287591761,31.18640588731418,31.397969447178181,31.627413798364834,31.875708354132072,32.144038945886493,32.433925909845968
1260,29.972215615237104,29.978375975010451,29.99687977798407,30.027796188438518,30.071240069809011,30.127371334919115,30.196394002583222,30.278554924392783,30.374142091960433,30.483482487283723,30.606939354842162,30.744908802835791,30.897815580004622,31.066107836108522,31.250250850888431,31.450720420175422,31.667998478598879,31.902576835718538,32.154979429919344,32.42581833936687,32.715903707713153
1320,30.190819472431041,30.197237712485194,30.216513116372809,30.248708613886159,30.293928135770859,30.352315151283364,30.424050629644455,30.509350535113633,30.608463123937042,30.721666690735603,30.849268796965347,30.991608556233835,31.149063919821643,31.322065955055045,31.511121716923299,31.716846503050292,31.940005623579673,32.181565944974452,32.442759382764521,32.725165173063694,33.030825731398814
1380,30.417904797498363,30.424552185460847,30.444512849077945,30.477843451754438,30.524638336424555,30.58502948522478,30.659186694713181,30.747318162484842,30.849671646505804,30.966536355026967,31.098245525074937,31.245179450414774,31.407768382929412,31.586494438971492,31.781891716661477,31.994544649937495,32.225086784388097,32.47420566225442,32.742664012951238,33.031351909690805,33.341387658375282
1440,30.652708863587311,30.65957599488074,30.680196012453877,30.714626006731649,30.762961030752713,30.825333878344694,30.901914670049884,30.99291016565444,31.098562707917711,31.219148808178687,31.354977402978843,31.506387935010391,31.673748460531634,31.857454059036648,32.057926088826882,32.275613495695985,32.510998835830236,32.764613910813281,33.037072777099759,33.329132832629824,33.641797700834616
1500,30.895124953058552,30.902207385190966,30.923472028113832,30.958971996741234,31.008795110641401,31.073062770656986,31.151928300272314,31.245574674017718,31.354211515821387,31.478071282932792,31.617404463360614,31.772473589710042,31.943545802312972,32.130883771264287,32.334735273770086,32.555322887473082,32.79283736073593,33.047440999433199,33.319290263481534,33.608588893736169,33.915684768126042
1560,31.144650506513681,31.151922404372741,31.17375210301504,31.210182504547809,31.261283670479248,31.327150627951838,31.407900320114077,31.503667821995435,31.614602112591598,31.740862021762108,31.882613307741597,32.040028242458966,32.213289377727151,32.402599271680124,32.608197819763006,32.830388469831135,33.069574245777773,33.326304433441067,33.601333554811312,33.895696669773287,34.210809949519323
1620,31.399992029779966,31.407407225821821,31.429662989987801,31.46679098342781,31.518843308174073,31.585891612950299,31.668026081127717,31.765354501620983,31.87800160184797,32.006108767062052,32.14983405023122,32.309352105689015,32.484853355411296,32.676541557882722,32.884629327852181,33.109332344190562,33.350865168596627,33.609444460620367,33.885308306625191,34.178762602326046,34.490266732605768
1680,31.659725393226516,31.667253991638894,31.689848225821194,31.727534579494368,31.780356528127115,31.848373513611797,31.931659516421224,32.030301289733387,32.144396421057564,32.274051581389912,32.419381515501939,32.580509577373235,32.757570813860667,32.950718748245137,33.160137124298146,33.386057957081064,33.628787424848753,33.888741530156246,34.166494344940503,34.462843437318135,34.778900240401725
1740,31.923033916338259,31.930653756793586,31.953519767935159,31.991652693777326,32.045086784587674,32.113869413189185,32.19806080055055,32.29773415205478,32.412976638357897,32.543891828376246,32.690604298260197,32.853267234765326,33.032073833734437,33.227273180596953,33.439191151579919,33.668256749375153,33.915034412196427,34.180263367124958,34.464906401260293,34.770212751246419,35.097802469157749
1800,32.189241924801905,32.196941860659614,32.220048596360414,32.258584511393899,32.312587597779704,32.38211257727545,32.467232647968132,32.568041998694532,32.684659188031588,32.817231405832416,32.965939412213146,33.1310026999491,33.312684169968684,33.511293555308079,33.72718924612176,33.960779218391771,34.212523585124558,34.482943565273104,34.772643971009551,35.082357824530554,35.413021372039296
